index,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,African_American,Asian,Hispanic,Native_American,Other,Female,Misdemeanor,biased_lr,biased_rf,Two_yr_Recidivism
5714,9,1,0,0,1,0,0,0,0,0,0,1,1,1
3560,12,1,0,0,1,0,0,0,0,0,0,1,1,1
4692,0,1,0,1,1,0,0,0,0,0,0,1,1,1
4584,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4201,0,1,0,1,0,0,0,0,0,0,0,1,1,1
561,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1657,2,1,0,0,1,0,0,0,0,0,1,0,1,0
193,11,1,1,0,1,0,0,0,0,0,0,1,1,0
5332,0,0,1,0,0,0,1,0,0,0,1,0,0,0
749,6,1,0,1,1,0,0,0,0,0,0,1,1,1
1666,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3380,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1573,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4568,1,1,0,1,1,0,0,0,0,0,0,1,1,0
883,0,0,0,0,1,0,0,0,0,0,1,0,0,1
434,2,0,0,0,1,0,0,0,0,0,1,0,0,0
5499,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1709,2,0,0,0,1,0,0,0,0,0,1,0,0,0
503,0,0,0,1,0,0,1,0,0,0,1,0,0,1
5303,1,1,0,0,1,0,0,0,0,0,0,0,0,1
2686,0,0,0,1,1,0,0,0,0,0,1,0,0,1
3663,2,1,0,0,0,0,1,0,0,0,0,0,1,0
1966,4,0,0,0,0,0,0,0,0,0,1,0,0,0
4861,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1830,15,1,0,0,1,0,0,0,0,0,0,1,1,0
4208,4,1,1,0,0,0,0,0,0,0,1,0,0,0
6124,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1704,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2601,0,0,1,0,0,0,0,0,0,0,1,0,0,0
436,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1062,9,1,0,0,0,0,0,0,0,0,1,1,1,1
4658,3,0,0,0,0,0,0,0,0,1,0,0,0,0
1096,0,0,1,0,0,1,0,0,0,0,1,0,0,0
5982,2,1,1,0,1,0,0,0,0,0,0,0,0,1
1765,13,1,0,0,1,0,0,0,0,0,0,1,1,1
661,4,1,0,0,1,0,0,0,0,1,0,0,1,0
5706,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2648,5,1,0,0,0,0,1,0,0,0,0,1,1,0
1491,0,1,0,0,1,0,0,0,0,0,0,0,0,1
5651,1,0,0,0,1,0,0,0,0,1,0,0,0,0
5734,5,0,1,0,0,0,0,0,1,0,1,0,0,1
3427,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5778,13,1,0,0,1,0,0,0,0,0,0,1,1,1
4878,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5142,0,0,0,0,0,0,1,0,0,0,1,0,0,1
3220,13,0,0,0,1,0,0,0,0,0,0,1,1,1
2115,1,1,0,0,1,0,0,0,0,0,1,0,0,0
6097,3,0,0,0,1,0,0,0,0,0,0,0,0,1
5410,27,1,0,0,1,0,0,0,0,0,1,1,1,1
5592,0,0,0,1,1,0,0,0,0,0,1,0,0,0
737,0,1,0,0,1,0,0,0,0,0,0,0,0,1
160,8,0,1,0,0,0,0,0,0,0,1,0,0,1
1589,3,1,0,1,0,0,1,0,0,0,0,1,1,1
966,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2718,3,0,0,0,1,0,0,0,0,1,0,0,0,0
1009,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3445,6,0,0,0,1,0,0,0,0,0,0,1,0,0
2315,0,1,0,0,1,0,0,0,0,0,0,0,0,0
818,2,1,0,1,1,0,0,0,0,0,0,1,1,1
2671,3,1,0,1,1,0,0,0,0,1,1,1,1,0
1139,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1012,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1524,1,0,0,0,0,0,1,0,0,0,1,0,0,0
3939,16,1,0,0,1,0,0,0,0,0,1,1,1,1
2320,0,1,0,1,1,0,0,0,0,0,0,1,1,0
171,4,0,0,0,0,0,0,0,0,0,1,0,0,0
3298,2,1,0,1,1,0,0,0,0,0,0,1,1,1
3913,13,1,0,0,1,0,0,0,0,1,0,1,1,1
2305,2,0,0,0,0,0,0,0,0,0,1,0,0,0
225,0,1,0,1,1,0,0,0,0,0,0,1,1,0
962,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4696,1,0,0,0,0,0,0,0,0,1,1,0,0,1
3010,3,0,1,0,0,0,0,0,0,0,0,0,0,0
5918,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4066,0,0,1,0,0,0,1,0,0,0,0,0,0,1
3016,8,1,0,0,1,0,0,0,0,0,0,1,1,1
2791,19,1,0,0,1,0,0,0,0,0,0,1,1,1
3661,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3254,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2929,9,1,1,0,0,0,1,0,0,0,1,1,1,1
5113,2,0,1,0,0,0,1,0,0,0,1,0,0,0
1850,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3853,1,1,1,0,0,0,0,0,0,0,0,0,0,1
1871,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5681,10,1,0,0,1,0,0,0,0,1,0,1,1,1
2193,13,1,0,0,1,0,0,0,0,1,0,1,1,0
3617,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1713,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2932,3,1,0,1,1,0,0,0,0,0,0,1,1,1
4210,0,1,0,1,1,0,0,0,0,0,0,1,1,1
3436,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2661,1,1,0,1,1,0,0,0,0,0,0,1,1,0
4532,4,1,0,0,0,0,0,0,0,0,0,1,1,0
2851,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1882,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3680,2,0,0,0,1,0,0,0,0,1,0,0,0,1
5544,7,0,0,0,1,0,0,0,0,0,0,1,0,1
473,3,0,1,0,1,0,0,0,0,0,1,0,0,0
1639,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3376,2,1,0,1,0,0,0,0,0,0,0,1,1,1
2138,5,1,0,1,0,0,0,0,1,0,1,1,1,1
3417,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1040,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5043,0,0,1,0,0,0,0,0,0,1,1,0,0,0
5531,15,1,0,0,1,0,0,0,0,0,0,1,1,0
5603,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3342,3,0,1,0,0,0,0,0,0,0,0,0,0,0
4459,4,1,0,0,0,0,0,0,0,0,1,1,1,1
