index,Age,Age_invalid_flag,Fare,Fare_invalid_flag,Sex,Cabin,Ticket,SibSp,Embarked,Parch,Pclass,Name,biased_lr,biased_rf,unbiased_lr,unbiased_rf,Survived
101,28.0,1,7.8958,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
768,28.0,1,24.15,0,1,-2,-2,1,2,0,0,-2,0,0,0,0,0
708,22.0,0,151.55,0,0,-2,372,0,0,0,1,-2,1,1,1,1,1
378,20.0,0,4.0125,0,1,-2,-2,0,1,0,0,-2,0,0,0,0,0
689,15.0,0,211.3375,0,0,32,111,0,0,1,1,-2,1,1,1,1,1
865,42.0,0,13.0,0,0,-2,-2,0,0,0,2,-2,1,1,1,0,1
445,4.0,0,81.8583,0,1,-2,-2,0,0,2,1,-2,0,1,1,1,1
628,26.0,0,7.8958,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
587,60.0,0,79.2,0,1,-2,-2,1,1,1,1,-2,0,0,0,1,1
263,40.0,0,0.0,0,1,-2,-2,0,0,0,1,-2,0,0,0,0,0
542,11.0,0,31.275,0,0,-2,232,6,0,2,0,-2,0,0,0,0,0
705,39.0,0,26.0,0,1,-2,-2,0,0,0,2,-2,0,0,1,0,0
599,49.0,0,56.9292,0,1,-2,454,1,1,0,1,-2,0,0,0,0,1
0,22.0,0,7.25,0,1,-2,-2,1,0,0,0,-2,0,0,0,0,0
234,24.0,0,10.5,0,1,-2,-2,0,0,0,2,-2,0,0,1,0,0
571,53.0,0,51.4792,0,0,-2,-2,2,0,0,1,-2,1,1,0,1,1
228,18.0,0,13.0,0,1,-2,-2,0,0,0,2,-2,0,0,1,0,0
777,5.0,0,12.475,0,0,-2,443,0,0,0,0,-2,0,1,0,0,1
568,28.0,1,7.2292,0,1,-2,-2,0,1,0,0,-2,0,0,0,0,0
806,39.0,0,0.0,0,1,-2,-2,0,0,0,1,-2,0,0,0,0,0
89,24.0,0,8.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
64,28.0,1,27.7208,0,1,-2,-2,0,1,0,1,-2,0,0,0,0,0
486,35.0,0,90.0,0,0,56,264,1,0,0,1,-2,1,1,1,1,1
389,17.0,0,12.0,0,0,-2,-2,0,1,0,2,-2,1,1,1,1,1
696,44.0,0,8.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
390,36.0,0,120.0,0,1,85,369,1,0,2,1,-2,0,1,1,1,1
87,28.0,1,8.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
95,28.0,1,8.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
292,36.0,0,12.875,0,1,19,-2,0,1,0,2,-2,0,0,1,1,0
2,26.0,0,7.925,0,0,-2,-2,0,0,0,0,-2,1,0,0,0,1
775,18.0,0,7.75,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
90,29.0,0,8.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
212,22.0,0,7.25,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
778,28.0,1,7.7375,0,1,-2,-2,0,2,0,0,-2,0,0,0,0,0
